id,name,category,price,shelf_life,seasonal,requires_prescription
101,Dolo 650 (Paracetamol),Fever,30,365,Viral,False
102,Crocin Advance,Fever,20,365,Viral,False
103,Digene Gel (Mint),Digestive,120,300,None,False
104,Pudin Hara Pearls,Digestive,25,250,Summer,False
105,Vicks VapoRub,Cold/Flu,45,500,Winter,False
106,Benadryl Cough Syrup,Cold/Flu,110,365,Winter,False
107,Otrivin Nasal Spray,Cold/Flu,95,365,Winter,False
108,Volini Spray,Pain Relief,160,400,None,False
109,Electral Powder (ORS),Hydration,22,500,Summer,False
110,Betadine Ointment,First Aid,135,400,None,False
201,Augmentin 625 Duo,Antibiotic,200,180,None,True
202,Azithral 500,Antibiotic,130,180,Winter,True
203,Thyronorm 50mcg,Thyroid,180,200,None,True
204,Telma 40 (BP),Cardio,210,365,None,True
205,Glycomet 500 (Diabetes),Diabetes,55,365,None,True
